time,joint1,joint2,joint3,joint4,joint5,joint6
0.0,4.136452450698158e-05,-0.0005636775822281,0.0013351702217327,0.0062473603481345,0.0007970099457317,-0.0030758672874533
0.010295867919921875,4.0546260319906935e-05,-0.0006287846501678,0.0014842546306477,0.0069373786485025,0.0008792724399118,-0.0034202050870746
0.020560503005981445,6.290001112585486e-05,-0.0006924357219348,0.00161966674783,0.0075405235011425,0.0009492468972123,-0.0037211661824496
0.02976822853088379,-3.940607957808595e-05,-0.0008132139518632,0.0018962294399287,0.0088205567058849,0.0011018479340538,-0.0043599364537492
0.04155993461608887,-4.003084999748552e-05,-0.0009775320741267,0.0022828285512082,0.0106334766926208,0.0013199129504801,-0.0052646579571185
0.05017805099487305,5.280252371608896e-05,-0.0011121400895941,0.0025807222235707,0.0119886379701661,0.0014795351017138,-0.005940892364352
0.0599212646484375,4.7361230206988125e-05,-0.001232163453821,0.002855556452431,0.0132606707210092,0.0016311820987997,-0.0065756701611867
0.07111549377441406,-4.719004803899196e-05,-0.0013034448607447,0.003029114985761,0.0140875683231227,0.0017317014599349,-0.0069883430055917
0.07978582382202148,-5.4694375145381e-05,-0.0014666843341917,0.0034029064287066,0.0158176142223966,0.0019379531785332,-0.0078516826250396
0.08986449241638184,3.96468216834478e-05,-0.0017110716668407,0.0039625132181546,0.018407682944888,0.0022467343934238,-0.0091441968164929
0.10033726692199707,-3.957184816005821e-05,-0.0018096343402715,0.0041778722313638,0.0193808282508234,0.0023608034238327,-0.0096297895835206
0.11126327514648438,3.950909069683206e-05,-0.0020002374786667,0.0046143229264306,0.0214008801484757,0.0026016257979426,-0.0106378485121254
0.1205909252166748,-4.318106112322084e-05,-0.0021191285560382,0.0048865645058615,0.0226609126526726,0.0027518416004301,-0.0112666378025849
0.12991690635681152,-4.0347627520809226e-05,-0.0023671014021431,0.0054543826531032,0.0252889801789422,0.0030651486951036,-0.0125781124374118
0.14000511169433594,-4.065395843078079e-05,-0.0024244186128186,0.0055959603141921,0.0259678838773549,0.0031480400952297,-0.0129169408499194
0.15001988410949707,-5.174914454642021e-05,-0.0027348567101732,0.0063068124643139,0.0292579713769676,0.0035402741730079,-0.0145587830708109
